Name	Ratio	Tags
Portal 2	97.71%	00100100001010010000001000
Vampire Survivors	97.54%	10111000110001000000010100
People Playground	97.53%	10111010010001000000000000
Hades	97.35%	10101000101000010000000000
Stardew Valley	97.31%	10011010110001000001100000
Terraria	97.07%	10101100111001000100100000
Portal	97.06%	00101100001010010000001000
RimWorld	96.81%	10001011010000000000000000
Half-Life: Alyx	96.79%	00101100001000010000001001
Left 4 Dead 2	96.70%	00101100000000000000101001
ULTRAKILL	96.67%	00101000000100000000011001
The Henry Stickmin Collection	96.61%	10111100010000000000000000
Euro Truck Simulator 2	96.55%	10010110001000000100100000
The Binding of Isaac: Rebirth	96.51%	10101000011001000000000000
Slay the Spire	96.49%	10011001110000100000000000
Helltaker	96.47%	10001100010010000011000010
Mount &amp; Blade: Warband	96.43%	10101111100000100000101000
Slime Rancher	96.42%	10111110000000101101011000
Totally Accurate Battle Simulator	96.41%	10111111000100101001000000
A Short Hike	96.40%	10011100000001000101000000
Katana ZERO	96.37%	10101000010001010000000000
Counter-Strike	96.34%	00100001000000000000101001
Senren?Banka	96.33%	00000000000000000001000010
Bloons TD 6	96.32%	10111101010100000001100000
Half-Life 2	96.23%	00101100001010010000101001
OMORI	96.18%	10000000111001111100000010
OneShot	96.14%	10011100111011010101000010
Hollow Knight	96.12%	10101100011000010101000000
A Hat in Time	96.12%	10101100000000001101000000
Dyson Sphere Program	96.11%	10011011000100000000010000
Celeste	96.09%	10101100011001010101000000
Pizza Tower	96.07%	10101100010001001000000000
Stray	96.00%	10101100001010001101000000
Dishonored	95.93%	00101100101000110000001001
Garry's Mod	95.92%	10000000000000000000000000
Firework	95.91%	11101100111010000000000000
Phasmophobia	95.89%	10100000000100000000111000
tModLoader	95.89%	10101100110001000010100000
ATRI -My Dear Moments-	95.88%	00011100000000010001000010
Rhythm Doctor	95.86%	10101100010001010000010000
The Room 4: Old Sins	95.86%	10001100001110010100101000
Hotline Miami	95.80%	10101000011001000000000001
Dead Cells	95.79%	10101100011001000000000000
